,Date Time,Name,Training Time,Dataset Size,Train Set,Seed,Frame Size,Hop Length,Accuracy,Precision,Recall,F1,Epochs,Hidden Dimensions,Hidden Layers,Dropout,Learning Rate,Gamma
79,21/04/2023 18:54:30,dsc_dataset-guided_long_accuracy,19.756128072738647,2430,0.9,4052,256,16,0.981453001499176,0.9815546870231628,0.981453001499176,0.981477439403534,6,7,3,0.1,5e-06,0.9
80,21/04/2023 18:55:17,dsc_dataset-guided_long_accuracy,19.753145456314087,2430,0.9,4052,128,16,0.9628511667251588,0.964330792427063,0.9628511667251588,0.963259756565094,7,7,3,0.1,5e-06,0.9
81,21/04/2023 19:02:12,dsc_dataset-guided_long_accuracy,36.65249681472778,2430,0.9,4052,128,16,0.9702590107917786,0.9714743494987488,0.9702590107917786,0.9705628156661988,11,7,3,0.1,5e-06,0.9
82,21/04/2023 19:03:59,dsc_dataset-guided_long_highres_accuracy,51.26657819747925,3646,0.9,4052,128,16,0.9876480102539062,0.9881150722503662,0.9876480102539062,0.9876787662506104,13,7,3,0.1,5e-06,0.9
83,21/04/2023 19:09:45,dsc_dataset-guided_long_highres_accuracy,55.25702905654907,3646,0.9,4052,128,16,0.980246603488922,0.9807136058807372,0.980246603488922,0.9802893996238708,11,7,3,0.1,5e-06,0.9
84,21/04/2023 19:23:28,dsc_dataset-no_guide_accuracy,72.19237065315247,3646,0.9,4052,128,16,0.9925984740257264,0.9927413463592528,0.9925984740257264,0.9926097393035888,14,7,5,0.1,5e-06,0.9
85,21/04/2023 19:27:48,dsc_dataset-no_guide_accuracy,51.3481662273407,3646,0.9,4052,128,16,0.9876480102539062,0.9881150722503662,0.9876480102539062,0.9876787662506104,13,7,3,0.1,5e-07,0.9
86,21/04/2023 19:29:53,dsc_dataset-no_guide_accuracy,36.537442684173584,3646,0.9,4052,64,16,0.9851727485656738,0.9858667850494384,0.9851727485656738,0.98521089553833,5,7,3,0.1,5e-07,0.9
87,21/04/2023 19:32:32,dsc_dataset-no_guide_accuracy,11.250005722045898,1081,0.8,4052,64,16,0.8859196901321411,0.8918130397796631,0.8859196901321411,0.8817166090011597,9,7,3,0.1,5e-07,0.9
88,21/04/2023 19:50:27,dsc_dataset-guided_highres_accuracy,11.239816665649414,1081,0.8,4052,64,16,0.808549165725708,0.8298355937004089,0.808549165725708,0.7895094156265259,9,7,3,0.1,5e-07,0.9
89,21/04/2023 19:51:02,dsc_dataset-guided_highres_accuracy,22.346407890319824,1081,0.8,4052,64,16,0.8816944360733032,0.8808715343475342,0.8816944360733032,0.880999743938446,19,7,3,0.1,5e-07,0.9
90,21/04/2023 19:51:54,dsc_dataset-guided_highres_accuracy,33.353726625442505,1081,0.8,4052,64,16,0.9149473309516908,0.9138672947883606,0.9149473309516908,0.9139465093612672,29,7,3,0.1,5e-07,0.9
91,21/04/2023 19:52:27,dsc_dataset-guided_highres_accuracy,6.35447883605957,1081,0.8,4052,64,16,0.4705882370471954,0.2378925383090973,0.4705882370471954,0.3149732649326324,4,7,4,0.1,5e-07,0.9
92,21/04/2023 19:52:42,dsc_dataset-guided_highres_accuracy,6.31599497795105,1081,0.8,4052,64,16,0.25,0.0632075443863868,0.25,0.1009036153554916,4,7,4,0.1,5e-07,0.9
93,21/04/2023 19:53:28,dsc_dataset-guided_highres_accuracy,33.46080803871155,1081,0.8,4052,64,16,0.9371158480644226,0.9392299652099608,0.9371158480644226,0.9376643896102904,29,7,3,0.1,5e-07,0.9
94,22/04/2023 12:47:11,dsc_dataset-guided_long_highres_accuracy,99.31597781181335,3241,0.8,4052,64,16,0.9617739319801332,0.9628956317901612,0.9617739319801332,0.9617043733596802,29,7,3,0.1,5e-06,0.9
95,22/04/2023 13:12:54,dsc_dataset-no_guide_exaggerated_accuracy,52.18136715888977,3241,0.8,4052,64,16,0.9581036567687988,0.959733247756958,0.9581036567687988,0.9581730365753174,14,7,3,0.1,5e-06,0.9
96,22/04/2023 13:14:07,dsc_dataset-no_guide_exaggerated_accuracy,34.52455019950867,3241,0.8,4052,64,16,0.9617616534233092,0.9620192646980286,0.9617616534233092,0.9618138670921326,9,7,3,0.1,5e-06,0.9
97,22/04/2023 13:17:30,dsc_dataset-no_guide_exaggerated_accuracy,36.612475633621216,3241,0.8,4052,512,16,0.9852094650268556,0.9855310916900636,0.9852094650268556,0.9851807355880736,8,7,3,0.1,5e-06,0.9
