,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
14250,-0.09026043,-1.0,-0.2736998,0.2611159,0.01324501,0.0294889,-0.02249153,-0.0501709,-1.021606,-0.09448242
14251,-0.09026043,-1.0,-0.2707385,0.245843,0.0,0.0,0.0,-0.0001220703,-1.021606,-0.02844238
14252,-0.113854,-1.0,-0.2692372,0.2382904,0.0,0.0,0.0,-0.05407715,-0.9938965,-0.06713867
14253,-0.1374799,-1.0,-0.2692372,0.2382904,0.01291804,-0.02260657,0.0002306792,-0.05053711,-0.9963379,-0.135498
14254,-0.1611441,-1.0,-0.2692372,0.2382904,0.0,0.0,0.0,-0.02307129,-0.9912109,-0.0925293
14255,-0.1848525,-1.0,-0.2613705,0.236771,0.0,0.0,0.0,-0.03588867,-0.9927979,-0.09973145
14256,-0.2086106,-1.0,-0.2381022,0.2320744,0.02306793,-0.001845434,0.01683958,-0.02661133,-0.9912109,-0.1296387
14257,-0.2165419,-1.0,-0.2178666,0.206247,0.0,0.0,0.0,-0.01074219,-0.994751,-0.1149902
14258,-0.2244794,-1.0,-0.1803438,0.1437523,0.0,0.0,0.0,-0.01586914,-1.008667,-0.1092529
14259,-0.2244794,-1.0,-0.1394201,0.1028509,0.0,0.0,0.0,0.005371094,-0.9967041,-0.0760498
14260,-0.2244794,-1.0,-0.04893406,0.03072604,0.0,0.0,0.0,-0.03161621,-1.023804,-0.03674316
14261,-0.2244794,-1.0,0.0,0.0,0.03198795,-0.01049605,0.03298758,-0.02880859,-1.033813,-0.02368164
14262,-0.2244794,-1.0,0.0,0.0,0.0,0.0,0.0,-0.01330566,-1.04187,-0.0748291
14263,-0.2244794,-1.0,0.0,0.0,0.0,0.0,0.0,-0.06359863,-1.037476,-0.05883789
14264,-0.2324234,-1.0,0.0,0.0,-0.0154929,-0.001499313,0.02174004,0.03356934,-1.010864,-0.02978516
14265,-0.2324234,-1.0,0.0,0.0,0.0,0.0,0.0,-0.008422852,-0.9787598,-0.04663086
14266,-0.2324234,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0324707,-1.051392,-0.03918457
14267,-0.2324234,-1.0,0.0,0.0,0.0,0.0,0.0,-0.04736328,-1.026611,0.0456543
14268,-0.2324234,-1.0,0.0,0.0,-0.04998118,-0.01224539,-0.007497177,0.04284668,-1.049072,-0.007324219
14269,-0.2324234,-1.0,0.0,0.0,0.0,0.0,0.0,-0.01464844,-1.026733,0.1396484
14270,-0.2324234,-1.0,0.0,0.0,0.0,0.0,0.0,-0.002319336,-1.035645,-0.02624512
14271,-0.2324234,-1.0,0.0,0.0,0.0,0.0,0.0,-0.05175781,-0.980835,-0.1274414
14272,-0.2324234,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0345459,-0.9381104,-0.2097168
14273,-0.2324234,-1.0,0.0,0.0,-0.02837355,0.009457849,-0.009227169,-0.001220703,-0.9343262,-0.2001953
14274,-0.2403741,-1.0,0.0,0.0,0.0,0.0,0.0,-0.04199219,-0.9311523,-0.1826172
14275,-0.2403741,-1.0,0.0,0.0,0.04798193,0.02424087,0.0002499059,-0.04650879,-0.9552002,-0.1503906
14276,-0.2403741,-1.0,0.0,0.0,0.0,0.0,0.0,-0.05175781,-0.9853516,-0.145752
14277,-0.2403741,-1.0,0.0,0.0,0.0,0.0,0.0,-0.05102539,-1.023438,-0.1220703
14278,-0.2403741,-1.0,0.0,0.0,0.05672864,0.01849304,0.01749341,-0.04455566,-0.9937744,-0.1170654
14279,-0.2403741,-1.0,0.0,0.0,0.0,0.0,0.0,-0.03405762,-1.008057,-0.1094971
14280,-0.2483314,-1.0,0.0,0.0,0.0,0.0,0.0,0.04748535,-1.044434,-0.1037598
14281,-0.2483314,-1.0,0.0,0.0,0.03898532,-0.01149567,0.02449078,-0.05688477,-1.041626,-0.04138184
14282,-0.2483314,-1.0,0.0,0.0,0.0,0.0,0.0,-0.001586914,-1.039429,-0.03369141
14283,-0.2483314,-1.0,0.0,0.0,0.0,0.0,0.0,-0.02709961,-1.028931,-0.08483887
14284,-0.2483314,-1.0,0.0,0.0,0.006247648,0.01999247,0.0127452,-0.01342773,-1.032715,-0.09375
14285,-0.2483314,-1.0,0.0,0.0,0.0,0.0,0.0,-0.003173828,-1.012451,-0.08752441
14286,-0.2483314,-1.0,0.0,0.0,-0.001614755,0.02260657,-0.00299883,-0.01599121,-1.049561,-0.04187012
14287,-0.2483314,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0345459,-1.073975,0.003173828
14288,-0.2483314,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1665039,-1.022461,0.1975098
14289,-0.2483314,-1.0,0.0,0.0,0.0,0.0,0.0,0.06445313,-1.066528,-0.008544922
14290,-0.2403741,-1.0,0.0,0.0,-0.1931773,-0.09621377,-0.03173805,-0.006835938,-1.038574,0.03588867
14291,-0.2403741,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1176758,-1.001465,-0.02819824
14292,-0.2403741,-1.0,0.0,0.0,0.0,0.0,0.0,-0.04724121,-0.9376221,-0.2086182
14293,-0.2403741,-1.0,0.0,0.0,0.0,0.0,0.0,-0.009033203,-0.9301758,-0.2698975
14294,-0.2562958,-1.0,0.0,0.0,0.0,0.0,0.0,-0.04187012,-0.880127,-0.2177734
14295,-0.2722459,-1.0,0.0,0.0,-0.01324393,0.01599267,-0.05922288,-0.0390625,-0.8883057,-0.2491455
14296,-0.2722459,-1.0,0.0,0.0,0.0,0.0,0.0,-0.04833984,-0.911377,-0.2619629
14297,-0.2722459,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0402832,-0.9138184,-0.2077637
14298,-0.2802319,-1.0,0.0,0.0,0.0,0.0,0.0,-0.06359863,-0.9893799,-0.223877
14299,-0.2882255,-1.0,0.0,0.0,0.0,0.0,0.0,-0.006713867,-0.9643555,-0.1696777
14300,-0.2962267,-1.0,0.0,0.0,0.1534017,-0.02375996,0.07035717,0.08239746,-0.9854736,-0.06140137
14301,-0.3042357,-1.0,0.0,0.0,0.0,0.0,0.0,-0.009155273,-1.039795,0.0003662109
14302,-0.3042357,-1.0,0.0,0.0,0.0,0.0,0.0,0.01391602,-1.050659,-0.04785156
14303,-0.3122526,-1.0,0.0,0.0,0.08496801,-0.01074595,0.07872036,0.006225586,-1.104614,-0.1339111
14304,-0.3122526,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0001220703,-1.09021,-0.0826416
14305,-0.3122526,-1.0,0.0,0.0,0.0,0.0,0.0,-0.06689453,-1.041626,0.02575684
14306,-0.3122526,-1.0,0.0,0.0,-0.06322619,-0.01749341,0.01049605,-0.005737305,-1.067749,0.02380371
14307,-0.3122526,-1.0,0.0,0.0,0.0,0.0,0.0,0.1092529,-1.150879,0.1870117
14308,-0.3122526,-1.0,0.0,0.0,0.0,0.0,0.0,-0.118042,-1.038818,0.02404785
14309,-0.3122526,-1.0,0.0,0.0,-0.1626755,0.002998627,-0.0692183,-0.1085205,-0.9991455,-0.2421875
14310,-0.3283107,-1.0,0.0,0.0,0.0,0.0,0.0,0.008789063,-0.9284668,-0.2606201
14311,-0.3605264,-1.0,0.0,0.0,0.0,0.0,0.0,0.001708984,-0.8822021,-0.2536621
14312,-0.3686016,-1.0,0.0,0.0,0.01914638,0.04728924,-0.02191453,-0.06774902,-0.9104004,-0.2491455
14313,-0.3686016,-1.0,0.0,0.0,0.0,0.0,0.0,-0.07336426,-0.93396,-0.1751709
14314,-0.3766855,-1.0,0.0,0.0,0.0,0.0,0.0,-0.08544922,-0.9822998,-0.1583252
14315,-0.3766855,-1.0,0.0,0.0,0.1003455,0.06089932,0.04705856,-0.02697754,-1.047119,-0.1018066
14316,-0.3766855,-1.0,0.0,0.0,0.0,0.0,0.0,0.0793457,-0.9956055,0.08337402
14317,-0.3766855,-1.0,0.0,0.0,0.0,0.0,0.0,-0.04211426,-1.003418,0.07177734
14318,-0.3766855,-1.0,0.0,0.0,-0.01949266,-0.01799322,0.04098457,0.004150391,-1.004517,-0.07666016
14319,-0.3766855,-1.0,0.0,0.0,0.0,0.0,0.0,-0.002563477,-1.021851,-0.1429443
14320,-0.3766855,-1.0,0.0,0.0,0.0,0.0,0.0,-0.03601074,-1.015625,-0.1164551
14321,-0.3766855,-1.0,0.0,0.0,-0.0634761,-0.03548664,-0.01499435,0.02148438,-1.082275,0.03833008
14322,-0.3766855,-1.0,0.0,0.0,0.0,0.0,0.0,0.1723633,-1.167969,0.1000977
14323,-0.3766855,-1.0,0.0,0.0,0.0,0.0,0.0,-0.05249023,-1.077026,0.07092285
14324,-0.3766855,-1.0,-0.06707518,0.09245497,0.0,0.0,0.0,-0.236084,-0.9647217,-0.08984375
14325,-0.4235087,-0.9776322,-0.19486,0.399628,0.0,0.0,0.0,-0.01074219,-0.8439941,-0.2434082
14326,-0.4469274,-0.9610918,-0.2538025,0.7689838,-0.1194918,0.01130328,-0.1095726,0.03466797,-0.8586426,-0.3104248
14327,-0.455077,-0.9615974,-0.2642672,1.0,0.0,0.0,0.0,-0.05187988,-0.7944336,-0.2406006
14328,-0.4632367,-0.9621069,-0.2086106,1.0,0.0,0.0,0.0,0.05639648,-0.7210693,-0.3267822
14329,-0.4627222,-0.9531286,-0.1374799,1.0,0.1713947,0.1033443,-0.05121079,-0.04785156,-0.8959961,-0.1687012
14330,-0.455077,-0.9615974,-0.05884144,1.0,0.0,0.0,0.0,-0.09240723,-0.8885498,-0.09277344
14331,-0.4392845,-0.9695919,0.07454614,1.0,0.0,0.0,0.0,0.01989746,-0.9302979,-0.08557129
14332,-0.4235087,-0.9776322,0.1611441,1.0,0.0,0.0,0.0,0.05871582,-1.030151,-0.004272461
14333,-0.4000978,-0.9943026,0.2483314,1.0,0.0,0.0,0.0,0.02734375,-1.05603,0.09399414
14334,-0.3762585,-1.0,0.2962267,1.0,0.0,0.0,0.0,-0.006591797,-1.118042,0.06298828
14335,-0.3605264,-1.0,0.3202776,1.0,0.0,0.0,0.0,0.03515625,-1.105225,-0.009033203
14336,-0.336352,-1.0,0.336352,1.0,0.0,0.0,0.0,0.001953125,-1.113037,-0.02197266
14337,-0.2882255,-1.0,0.3524597,1.0,-0.0297388,0.08521792,-0.02624012,-0.04321289,-1.06897,-0.001953125
14338,-0.2642672,-1.0,0.3605264,1.0,0.0,0.0,0.0,-0.1009521,-1.035645,0.1390381
14339,-0.2483314,-1.0,0.3605264,1.0,0.0,0.0,0.0,0.1062012,-1.208618,-0.006469727
14340,-0.2403741,-1.0,0.3605264,1.0,0.0,0.0,0.0,0.01293945,-1.162109,0.01855469
14341,-0.2324234,-1.0,0.3605264,1.0,0.0,0.0,0.0,-0.009521484,-1.101563,-0.1066895
14342,-0.2403741,-1.0,0.3605264,1.0,0.0,0.0,0.0,-0.09606934,-1.096436,-0.2231445
14343,-0.2882255,-1.0,0.3605264,1.0,-0.09157966,0.02029977,-0.04198362,-0.01928711,-1.048584,-0.2679443
14344,-0.3355535,-0.9908698,0.3605264,1.0,0.0,0.0,0.0,-0.01049805,-1.017822,-0.1900635
14345,-0.3901656,-0.9576792,0.3605264,1.0,0.0,0.0,0.0,-0.02380371,-0.9697266,-0.2723389
14346,-0.4611413,-0.9262241,0.3605264,1.0,0.008996612,0.05198043,-0.03148814,-0.03161621,-0.9873047,-0.3028564
14347,-0.507966,-0.8938627,0.3686016,1.0,0.0,0.0,0.0,-0.01611328,-0.9942627,-0.2202148
14348,-0.5958595,-0.8563014,0.3847782,1.0,0.0,0.0,0.0,-0.02258301,-0.9715576,-0.2341309
14349,-0.6915035,-0.7942412,0.4091095,1.0,0.06147185,0.05222608,-0.01174462,0.0604248,-0.9609375,-0.1618652
14350,-0.7392889,-0.7551026,0.433522,1.0,0.0,0.0,0.0,0.1181641,-0.9567871,0.001586914
14351,-0.8109252,-0.6843418,0.4662001,1.0,0.0,0.0,0.0,0.05627441,-0.9957275,0.03051758
14352,-0.860055,-0.6460322,0.4825947,1.0,0.0,0.0,0.0,0.0682373,-1.035156,0.01293945
14353,-0.9395315,-0.5272477,0.5154955,1.0,0.0,0.0,0.0,0.08483887,-1.047241,-0.04187012
14354,-0.9771562,-0.4153903,0.5397605,1.0,0.0,0.0,0.0,0.00390625,-1.067993,-0.06262207
14355,-1.0,-0.2642672,0.5962749,0.9884557,0.0,0.0,0.0,-0.02563477,-1.045898,0.0378418
14356,-1.0,-0.08240198,0.6280115,0.9640176,0.0,0.0,0.0,0.1938477,-1.086426,0.05041504
14357,-1.0,0.2324234,0.6520168,0.9480243,-0.1929274,-0.01574407,0.03773579,0.08679199,-1.128418,0.1263428
14358,-1.0,0.4990265,0.6514414,0.9391946,0.0,0.0,0.0,0.06542969,-1.051514,0.04150391
14359,-0.7584679,0.9029379,0.6760875,0.9321206,-0.196308,0.04751992,0.01314872,-0.01037598,-0.9632568,-0.2325439
14360,-0.5817437,1.0,0.6899853,0.8894031,0.0,0.0,0.0,0.01403809,-0.9665527,-0.2958984
14361,-0.2562958,1.0,0.6790026,0.7418005,0.0,0.0,0.0,0.03930664,-0.8649902,-0.2893066
14362,0.04314433,1.0,0.5862795,0.466783,0.01599267,0.1406856,0.04447963,0.03393555,-0.8117676,-0.3022461
14363,0.1927661,1.0,0.484136,0.2472925,0.0,0.0,0.0,0.009155273,-0.8314209,-0.336792
14364,0.336352,1.0,0.2470931,-0.05159087,0.0,0.0,0.0,-0.07836914,-0.9555664,-0.2531738
14365,0.3928797,1.0,0.1751011,-0.1751011,0.1976595,0.1966599,0.0484778,-0.1043701,-1.056519,-0.2143555
14366,0.4091095,1.0,0.1475575,-0.1958491,0.0,0.0,0.0,0.01757813,-1.111694,-0.04968262
14367,0.4253754,1.0,0.02151933,-0.05323202,0.0,0.0,0.0,0.02172852,-1.071899,0.04943848
14368,0.433522,1.0,0.0,0.0,0.0,0.0,0.0,-0.04333496,-1.087402,-0.03515625
14369,0.4416777,1.0,0.0,0.0,0.0,0.0,0.0,-0.08190918,-1.057495,-0.04516602
14370,0.4416777,1.0,0.0,0.0,0.0,0.0,0.0,-0.02575684,-0.9737549,-0.1435547
14371,0.4498426,1.0,0.0,0.0,0.0,0.0,0.0,-0.09338379,-1.01123,-0.09655762
14372,0.4498426,1.0,0.0,0.0,0.0,0.0,0.0,-0.08837891,-1.015991,-0.04772949
14373,0.4498426,1.0,0.0,0.0,0.0,0.0,0.0,0.02966309,-1.02124,0.1827393
14374,0.4580168,1.0,0.0,0.0,0.0,0.0,0.0,-0.06237793,-1.026855,0.05273438
14375,0.4580168,1.0,0.0,0.0,0.0,0.0,0.0,-0.1864014,-0.9978027,-0.06591797
14376,0.4580168,1.0,0.0,0.0,0.0,0.0,0.0,-0.01843262,-0.9371338,-0.2915039
14377,0.4580168,1.0,0.0,0.0,0.0,0.0,0.0,0.08984375,-0.9084473,-0.269165
14378,0.4580168,1.0,0.0,0.0,-0.1186956,0.05672402,-0.1384366,0.06616211,-0.9494629,-0.2246094
14379,0.4580168,1.0,0.0,0.0,0.0,0.0,0.0,0.02197266,-0.9304199,-0.2785645
14380,0.4580168,1.0,0.0,0.0,0.0,0.0,0.0,0.02404785,-0.9611816,-0.2446289
