,Left Stick X,Left Stick Y,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
5020,0.0,0.0,0.2751581,0.2688326,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1158447,-0.9807129,-0.3803711
5021,0.0,0.0,0.2673733,0.2673733,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1120605,-0.9645996,-0.3809814
5022,0.0,0.0,0.2829929,0.2702741,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081543,-0.9433594,-0.4140625
5023,0.0,0.0,0.3067798,0.2744872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1104736,-0.920166,-0.4263916
5024,0.0,0.0,0.3554787,0.2823897,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09423828,-0.8817139,-0.4404297
5025,0.0,0.0,0.4127225,0.2831072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07434082,-0.8614502,-0.4365234
5026,0.0,0.0,0.523641,0.2885369,0,0.0,0.0,0.0,0.0,-0.01499313,0.03748283,0.03848238,0.07348633,-0.8945313,-0.3780518
5027,0.0,0.0,0.6561429,0.3002688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07763672,-0.901123,-0.3970947
5028,0.0,0.0,0.8920318,0.3466849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07507324,-0.9140625,-0.4368896
5029,0.0,0.0,1.0,0.3928797,0,0.0,0.0,0.0,1.0,-0.02399097,0.03548664,0.01799322,-0.003417969,-0.8684082,-0.4526367
5030,0.0,0.0,1.0,0.3605264,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1149902,-0.9204102,-0.4462891
5031,0.0,0.0,1.0,0.3042357,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1119385,-0.9233398,-0.4812012
5032,0.0,0.0,1.0,0.2483314,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0670166,-0.897583,-0.4567871
5033,0.0,0.0,1.0,0.1296006,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1101074,-0.8930664,-0.4747314
5034,0.0,0.0,1.0,-0.02745281,0,0.0,0.0,0.0,1.0,-0.03998494,0.02374106,0.02574031,0.1339111,-0.8590088,-0.5153809
5035,0.0,0.0,1.0,-0.1296006,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1170654,-0.8787842,-0.5161133
5036,0.0,0.0,1.0,-0.2165419,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1126709,-0.8140869,-0.5546875
5037,0.0,0.0,1.0,-0.2722459,0,0.0,0.0,0.0,1.0,0.02548833,0.02124027,0.01524302,0.1031494,-0.8128662,-0.5435791
5038,0.0,0.0,1.0,-0.3042357,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1124268,-0.8447266,-0.4996338
5039,0.0,0.0,1.0,-0.3444016,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09875488,-0.8565674,-0.4815674
5040,0.0,0.0,1.0,-0.3686016,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1137695,-0.8994141,-0.4543457
5041,0.0,0.0,1.0,-0.4009901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09533691,-0.9378662,-0.4223633
5042,0.0,0.0,1.0,-0.4172379,0,0.0,0.0,0.0,0.0,0.03459883,0.04082663,0.01960601,0.06298828,-0.9796143,-0.3443604
5043,0.0,0.0,1.0,-0.4167845,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08166504,-0.9997559,-0.355835
5044,0.0,0.0,1.0,-0.4005468,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06604004,-0.9981689,-0.3442383
5045,0.0,0.0,0.9969909,-0.2719066,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03039551,-0.9686279,-0.3679199
5046,0.0,0.0,0.9934997,-0.1767094,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01025391,-0.9223633,-0.2202148
5047,0.0,0.0,0.9815806,-0.0195534,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01220703,-0.9622803,-0.3354492
5048,0.0,0.0,0.9654732,0.1602607,0,0.0,0.0,0.0,1.0,-0.0727167,0.1104494,0.04597894,0.09143066,-0.9130859,-0.5180664
5049,0.0,0.0,0.9502843,0.24637,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1225586,-0.8638916,-0.6026611
5050,0.0,0.0,0.9273153,0.3325815,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1883545,-0.7877197,-0.6646729
5051,0.0,0.0,0.9201099,0.3641286,0,0.0,0.0,0.0,1.0,-0.002498855,0.02923661,0.008745994,0.1774902,-0.7490234,-0.6879883
5052,0.0,0.0,0.9110739,0.3636475,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1617432,-0.7565918,-0.6251221
5053,0.0,0.0,0.9101176,0.3476415,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1485596,-0.7738037,-0.4672852
5054,0.0,0.0,0.8888113,0.2910954,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1202393,-0.7635498,-0.4733887
5055,0.0,0.0,0.8463857,0.1646814,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2325439,-0.7580566,-0.5146484
5056,0.0,0.0,0.7785653,-0.01128355,0,0.0,0.0,0.0,0.0,0.1416966,0.006247648,-0.009496424,0.1502686,-0.8243408,-0.5130615
5057,0.0,0.0,0.754096,-0.1463171,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1044922,-0.8873291,-0.4398193
5058,0.0,0.0,0.7499276,-0.3616402,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08862305,-0.9228516,-0.3210449
5059,0.0,0.0,0.7660691,-0.5560806,0,0.0,0.0,0.0,0.0,0.102703,0.04348009,0.02149016,0.04418945,-0.9371338,-0.2880859
5060,0.0,0.0,0.7935843,-0.6830353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03710938,-0.9804688,-0.2966309
5061,0.0,0.0,0.8154141,-0.7438167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01550293,-1.141602,-0.05969238
5062,0.0,0.0,0.8154141,-0.7438167,0,0.0,0.0,0.0,0.0,-0.01174558,0.1364486,0.08721716,-0.001464844,-1.053833,-0.1864014
5063,0.0,0.0,0.8407811,-0.7371777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04492188,-1.168457,-0.2741699
5064,0.0,0.0,0.9027491,-0.6323221,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08178711,-1.124023,-0.3096924
5065,0.0,0.0,0.9876082,-0.4402591,0,0.0,0.0,0.0,1.0,-0.1789181,0.1631753,0.1231936,0.07250977,-0.9993896,-0.4056396
5066,0.0,0.0,1.0,-0.3122526,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02770996,-0.8166504,-0.2700195
5067,0.0,0.0,1.0,-0.1453634,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009399414,-0.8776855,-0.3935547
5068,0.0,0.0,1.0,-0.035298,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09130859,-0.8665771,-0.5452881
5069,0.0,0.0,1.0,0.1374799,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1645508,-0.8015137,-0.6685791
5070,0.0,0.0,1.0,0.2403741,0,0.0,0.0,0.0,1.0,-0.05198043,0.1109582,0.03423711,0.2341309,-0.7827148,-0.6881104
5071,0.0,0.0,1.0,0.2802319,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2518311,-0.7824707,-0.7092285
5072,0.0,0.0,1.0,0.2882255,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2178955,-0.7584229,-0.6762695
5073,0.0,0.0,1.0,0.2882255,0,0.0,0.0,0.0,1.0,0.06097704,0.04773203,0.01174558,0.1934814,-0.7016602,-0.5961914
5074,0.0,0.0,1.0,0.2324234,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.185791,-0.7375488,-0.5637207
5075,0.0,0.0,1.0,0.08240198,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1621094,-0.8575439,-0.4765625
