Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
34.87016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004805648,-0.0007304503,0.0009803359,-0.03320313,-1.009521,-0.05664063,0,0,0,0,0,0
34.88015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001422488,-0.001211015,0.002652709,-0.03381348,-1.011475,-0.05725098,0,0,0,0,0,0
34.89015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001999084,0.001749199,-0.03137207,-1.011963,-0.06018066,0,0,0,0,0,0
34.90015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001249529,-0.002249153,0.0002499059,-0.02893066,-1.004883,-0.06359863,0,0,0,0,0,0
34.91015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0007497177,-0.005997213,-0.001999084,-0.02941895,-1,-0.06689453,0,0,0,0,0,0
34.92015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006708701,-0.003575427,-0.02575684,-0.9989014,-0.06896973,0,0,0,0,0,0
34.93015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004614399,-0.002999359,-0.002768639,-0.02539063,-0.9945068,-0.06811523,0,0,0,0,0,0
34.94014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002768151,-0.002306792,-0.00299883,-0.02404785,-0.9995117,-0.06713867,0,0,0,0,0,0
34.95014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008938139,-0.00286404,-0.003344584,-0.02307129,-1,-0.06774902,0,0,0,0,0,0
34.96014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00599766,-0.0004613585,0.002768151,-0.02697754,-1.018799,-0.06018066,0,0,0,0,0,0
